id,nom_estab,codigo_act,nombre_act,cod_postal,cve_mun,alcaldia,latitud,longitud
8680281,ACERCATEFEM NORTE,621111,Consultorios de medicina general del sector privado,7780,5,Gustavo A. Madero,19.47645926,-99.143055
935490,ACUPUNTURA CHINA,621111,Consultorios de medicina general del sector privado,14390,12,Tlalpan,19.28887089,-99.12626565
692947,AFEECI,621111,Consultorios de medicina general del sector privado,11870,16,Miguel Hidalgo,19.4006118,-99.18740368
7255840,ALLOY BUSINESS CENTER,621111,Consultorios de medicina general del sector privado,3200,14,Benito Juárez,19.37110881,-99.17299827
7923925,AMBU MEDICA,621111,Consultorios de medicina general del sector privado,10200,8,La Magdalena Contreras,19.32339405,-99.22324158
11466428,AMEG,621111,Consultorios de medicina general del sector privado,15270,17,Venustiano Carranza,19.44934812,-99.12315174
11781432,AMSAVIH,621111,Consultorios de medicina general del sector privado,3103,14,Benito Juárez,19.3968353,-99.17103592
910740,ANALISIS CLINICOS DEL DOCTOR SIMI,621111,Consultorios de medicina general del sector privado,4300,3,Coyoacán,19.32343147,-99.15708179
656726,ANALISTA LABORATORIO,621111,Consultorios de medicina general del sector privado,9060,7,Iztapalapa,19.36436856,-99.1169699
864797,ANDRES FELIPE COBALEDA ARISTIZABAL,621111,Consultorios de medicina general del sector privado,6760,15,Cuauhtémoc,19.40683965,-99.16666056
872015,APARATOS AUDIVITOS,621111,Consultorios de medicina general del sector privado,1010,10,Álvaro Obregón,19.36167338,-99.18867559
11368124,AS CLINIC,621111,Consultorios de medicina general del sector privado,6400,15,Cuauhtémoc,19.44712175,-99.15725096
863851,ASOCIACION DE ESPECIALIDADES MEDICAS,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.4146637,-99.16135595
740500,ATENCION MEDICA DOMICILIARIA,621111,Consultorios de medicina general del sector privado,7300,5,Gustavo A. Madero,19.49923257,-99.12938738
771076,ATENCION MEDICA INTEGRAL,621111,Consultorios de medicina general del sector privado,7510,5,Gustavo A. Madero,19.49866865,-99.07328972
11160745,ATENCION MEDICA INTEGRAL AMI,621111,Consultorios de medicina general del sector privado,9430,7,Iztapalapa,19.37519271,-99.12000437
1057861,ATENCION MEDICA MIXCOAC,621111,Consultorios de medicina general del sector privado,1420,10,Álvaro Obregón,19.37278715,-99.19687511
8230197,AUDIOLOGIA,621111,Consultorios de medicina general del sector privado,11560,16,Miguel Hidalgo,19.43560733,-99.18983232
8584161,BIOACERT COMPLEJO MEDICO,621111,Consultorios de medicina general del sector privado,4700,3,Coyoacán,19.30709863,-99.17421197
10753802,BIOMEDICA AXOLOTL,621111,Consultorios de medicina general del sector privado,2080,2,Azcapotzalco,19.46810336,-99.18106664
665687,BIONEURAL,621111,Consultorios de medicina general del sector privado,2650,2,Azcapotzalco,19.47974182,-99.1550829
933480,BIOS NOVA GRUPO MEDICO,621111,Consultorios de medicina general del sector privado,3200,14,Benito Juárez,19.37525958,-99.17351424
849559,BIOTEC LAB,621111,Consultorios de medicina general del sector privado,14100,12,Tlalpan,19.29318526,-99.2335731
10187461,BON MASAJE,621111,Consultorios de medicina general del sector privado,2440,2,Azcapotzalco,19.49365092,-99.20767687
9103230,BUSINESS CENTER,621111,Consultorios de medicina general del sector privado,3200,14,Benito Juárez,19.37114511,-99.17298901
10799680,CASA PARROQUIAL DE LA VIDA SAGRADOS CORAZONES,621111,Consultorios de medicina general del sector privado,8500,6,Iztacalco,19.3946407,-99.0744001
1004570,CEDEI,621111,Consultorios de medicina general del sector privado,4300,3,Coyoacán,19.31270633,-99.16534347
838240,CENTRAL MEDICA PAOLA SC,621111,Consultorios de medicina general del sector privado,9900,7,Iztapalapa,19.30796163,-99.07435816
993163,CENTRO ANTIDIABETICO SANTIAGO,621111,Consultorios de medicina general del sector privado,16208,13,Xochimilco,19.24723588,-99.12674395
8392385,CENTRO AURA,621111,Consultorios de medicina general del sector privado,3103,14,Benito Juárez,19.39144234,-99.17100462
842080,CENTRO COMUNITARIO DE ATENCION INTEGRAL PROGRESO,621111,Consultorios de medicina general del sector privado,9700,7,Iztapalapa,19.33488035,-99.0403372
978277,CENTRO COMUNITARIO DE SALUD INTEGRAL CONSULTORIO MEDICO,621111,Consultorios de medicina general del sector privado,4490,3,Coyoacán,19.32215502,-99.11366269
725433,CENTRO DE ATENCION A LA SALUD Y EL BIENESTAR,621111,Consultorios de medicina general del sector privado,2080,2,Azcapotzalco,19.46520565,-99.1814433
874931,CENTRO DE ATENCION VISUAL,621111,Consultorios de medicina general del sector privado,9670,7,Iztapalapa,19.33446213,-99.02547743
654848,CENTRO DE CAPACITACION EN TECNICAS DE LA SALUD,621111,Consultorios de medicina general del sector privado,15510,17,Venustiano Carranza,19.44236793,-99.09026668
972931,CENTRO DE CUIDADOS MEDICOS,621111,Consultorios de medicina general del sector privado,16060,13,Xochimilco,19.26284179,-99.12867809
895846,CENTRO DE DESARROLLO DEL BUEN VIVIR,621111,Consultorios de medicina general del sector privado,6700,15,Cuauhtémoc,19.4181264,-99.16722449
