nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
ACERCATEFEM NORTE,621111,Consultorios de medicina general del sector privado,Gustavo A. Madero,19.47645926,-99.143055,privado
ACUPUNTURA CHINA,621111,Consultorios de medicina general del sector privado,Tlalpan,19.28887089,-99.12626565,privado
AFEECI,621111,Consultorios de medicina general del sector privado,Miguel Hidalgo,19.4006118,-99.18740368,privado
ALLOY BUSINESS CENTER,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37110881,-99.17299827,privado
AMBU MEDICA,621111,Consultorios de medicina general del sector privado,La Magdalena Contreras,19.32339405,-99.22324158,privado
AMEG,621111,Consultorios de medicina general del sector privado,Venustiano Carranza,19.44934812,-99.12315174,privado
AMSAVIH,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.3968353,-99.17103592,privado
ANALISIS CLINICOS DEL DOCTOR SIMI,621111,Consultorios de medicina general del sector privado,Coyoacán,19.32343147,-99.15708179,privado
ANALISTA LABORATORIO,621111,Consultorios de medicina general del sector privado,Iztapalapa,19.36436856,-99.1169699,privado
ANDRES FELIPE COBALEDA ARISTIZABAL,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.40683965,-99.16666056,privado
APARATOS AUDIVITOS,621111,Consultorios de medicina general del sector privado,Álvaro Obregón,19.36167338,-99.18867559,privado
AS CLINIC,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.44712175,-99.15725096,privado
ASOCIACION DE ESPECIALIDADES MEDICAS,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.4146637,-99.16135595,privado
ATENCION MEDICA DOMICILIARIA,621111,Consultorios de medicina general del sector privado,Gustavo A. Madero,19.49923257,-99.12938738,privado
ATENCION MEDICA INTEGRAL,621111,Consultorios de medicina general del sector privado,Gustavo A. Madero,19.49866865,-99.07328972,privado
ATENCION MEDICA INTEGRAL AMI,621111,Consultorios de medicina general del sector privado,Iztapalapa,19.37519271,-99.12000437,privado
ATENCION MEDICA MIXCOAC,621111,Consultorios de medicina general del sector privado,Álvaro Obregón,19.37278715,-99.19687511,privado
AUDIOLOGIA,621111,Consultorios de medicina general del sector privado,Miguel Hidalgo,19.43560733,-99.18983232,privado
BIOACERT COMPLEJO MEDICO,621111,Consultorios de medicina general del sector privado,Coyoacán,19.30709863,-99.17421197,privado
BIOMEDICA AXOLOTL,621111,Consultorios de medicina general del sector privado,Azcapotzalco,19.46810336,-99.18106664,privado
BIONEURAL,621111,Consultorios de medicina general del sector privado,Azcapotzalco,19.47974182,-99.1550829,privado
BIOS NOVA GRUPO MEDICO,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37525958,-99.17351424,privado
BIOTEC LAB,621111,Consultorios de medicina general del sector privado,Tlalpan,19.29318526,-99.2335731,privado
BON MASAJE,621111,Consultorios de medicina general del sector privado,Azcapotzalco,19.49365092,-99.20767687,privado
BUSINESS CENTER,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37114511,-99.17298901,privado
CASA PARROQUIAL DE LA VIDA SAGRADOS CORAZONES,621111,Consultorios de medicina general del sector privado,Iztacalco,19.3946407,-99.0744001,privado
CEDEI,621111,Consultorios de medicina general del sector privado,Coyoacán,19.31270633,-99.16534347,privado
CENTRAL MEDICA PAOLA SC,621111,Consultorios de medicina general del sector privado,Iztapalapa,19.30796163,-99.07435816,privado
CENTRO ANTIDIABETICO SANTIAGO,621111,Consultorios de medicina general del sector privado,Xochimilco,19.24723588,-99.12674395,privado
CENTRO AURA,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.39144234,-99.17100462,privado
CENTRO COMUNITARIO DE ATENCION INTEGRAL PROGRESO,621111,Consultorios de medicina general del sector privado,Iztapalapa,19.33488035,-99.0403372,privado
CENTRO COMUNITARIO DE SALUD INTEGRAL CONSULTORIO MEDICO,621111,Consultorios de medicina general del sector privado,Coyoacán,19.32215502,-99.11366269,privado
CENTRO DE ATENCION A LA SALUD Y EL BIENESTAR,621111,Consultorios de medicina general del sector privado,Azcapotzalco,19.46520565,-99.1814433,privado
CENTRO DE ATENCION VISUAL,621111,Consultorios de medicina general del sector privado,Iztapalapa,19.33446213,-99.02547743,privado
CENTRO DE CAPACITACION EN TECNICAS DE LA SALUD,621111,Consultorios de medicina general del sector privado,Venustiano Carranza,19.44236793,-99.09026668,privado
CENTRO DE CUIDADOS MEDICOS,621111,Consultorios de medicina general del sector privado,Xochimilco,19.26284179,-99.12867809,privado
CENTRO DE DESARROLLO DEL BUEN VIVIR,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.4181264,-99.16722449,privado
CENTRO DE DIAGNOTICO PULMONAR AVANZADO,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.40538704,-99.15973415,privado
CENTRO DE ESPECIALIDADES MEDICAS,621111,Consultorios de medicina general del sector privado,Coyoacán,19.34029493,-99.13700761,privado
CENTRO HOLISTICO,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.43174306,-99.13655054,privado
CENTRO INTEGRAL DE CIRUGIA PLASTICA,621111,Consultorios de medicina general del sector privado,Álvaro Obregón,19.33313993,-99.1996993,privado
CENTRO INTEGRAL DE MEDICINA ANTIENVEJECIMIENTO,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37289667,-99.17559126,privado
CENTRO INTEGRAL PARA EL CONTROL DE SOBRE PESO Y OBESIDAD,621111,Consultorios de medicina general del sector privado,Venustiano Carranza,19.41466346,-99.10467305,privado
CENTRO MEDICO CAPISTRAN,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37461122,-99.16018948,privado
CENTRO MEDICO COYOACAN,621111,Consultorios de medicina general del sector privado,Coyoacán,19.30975993,-99.12970165,privado
CENTRO MEDICO COYOACAN,621111,Consultorios de medicina general del sector privado,Coyoacán,19.30999698,-99.12887559,privado
CENTRO MEDICO ESPECIALIZADO EN DIABETES,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.43889326,-99.15824794,privado
CENTRO MEDICO FAMILIAR,621111,Consultorios de medicina general del sector privado,Coyoacán,19.32628569,-99.11362677,privado
CENTRO MEDICO GUERRERO,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.44275902,-99.14877962,privado
CENTRO MEDICO PRIVADO,621111,Consultorios de medicina general del sector privado,Benito Juárez,19.37043355,-99.16280196,privado
CENTRO QUIRURGICO RIO CONSULADO,621111,Consultorios de medicina general del sector privado,Azcapotzalco,19.46333125,-99.15221699,privado
CENTTRO DE URGENCIAS MEDICAS NUM 6 DE LA CRUZ ROJA MEXICANA,621111,Consultorios de medicina general del sector privado,Álvaro Obregón,19.35493504,-99.21554839,privado
CHECK UP MEDICO ESPECIALIZADO,621111,Consultorios de medicina general del sector privado,Miguel Hidalgo,19.43180858,-99.17990376,privado
CIBIO,621111,Consultorios de medicina general del sector privado,Cuauhtémoc,19.42295674,-99.15685269,privado
CIRUGIA GENERAL,621111,Consultorios de medicina general del sector privado,Tlalpan,19.29617416,-99.16118248,privado
