stop_id,stop_name,grupo_stop_id
01020A00-CIRGPRIETO,Circuito Interior - Guillermo Prieto,0
0100L1-PANTITLAN,Pantitlán,1
01023D00-TEXACALCOT,Texacalco - Tecamachalco,2
01023D00-TEXACALCO,Texacalco ,3
01023D01-TEXATLATUL,Texacalco - Fuente de Templanza Atlatunco,4
01023D01-ATLATULTLAX,Fuente de Templanza Atlatunco - Tlaxcatitlán,5
01023D01-ATLATULCHAY,Fuente de Templanza Atlatunco - Chayiyicame,6
01023D00-ATLATULCO,Fuente de Templanza Atlatunco - Acuezunco,7
01023D00-FTESTECAMA,Av. de las Fuentes - Tecamachalco,8
0100C831-FTEJUANARCO,Av. de las Fuentes - Fuente Juana de Arco,9
01023D00-TRITONJUANA,Fuente de Tritones - Juana de Arco,9
01023D01-GTAVFUENTS,Glorieta Av. de las Fuentes,9
01023D00-TRITONADAN,Fuente de Tritones - Fuente de Adán,10
01023C00-ESIA,ESIA,11
01023C01-AGUAESIA,Agua Caliente - ESIA,12
01023C00-AGUAESIA,Agua Caliente - ESIA,12
01023C01-AGUALEONES,Agua Caliente - Fuente de los Leones,13
01023C01-NINOAGUILA,Fuente del Niño - Fuente de las Águilas,14
01023C01-TRITONINO,Fuente de Tritones - Fuente del Niño,15
01023B01-SRRSTAROSM,Sierra Santa Rosa - Muinura,16
01023B01-SANISIDRO,San Isidro,17
01023B01-SRRSTAROS4,Sierra Santa Rosa - Calle 4,18
01023B01-SRRSTAROS10,Sierra Santa Rosa - Calle 10,19
01023B01-SRRSTAROS13,Sierra Santa Rosa - Calle 13,20
01023B01-SRRSTAROSA,Sierra Santa Rosa - Calle 16,21
01023B00-ONTARIOATTE,Lago Ontario - Lago Atter,22
01023B00-ONTARIOLORE,Lago Ontario - San Lorenzo,23
01023B00-GOLFONTARI,Golfo del Eden - Lago Ontario,24
01023B00-MNALGOLFOE,Av. Marina Nacional - Golfo del Eden,25
01023A00-CETRAMTAC2,CETRAM Tacuba 2,26
010C1900-MTROTACUBA,Base Metro Tacuba,26
01023A00-CETRAMTACU,CETRAM Tacuba,26
01023A00-PIPILANARCI,Blvd. Pipila - Narciso de Mendoza,27
01023A00-PIPILACONSC,Blvd. Pipila - Av. del Conscripto,28
01023A00-LERMAMEDIC,Av. Río Lerma - Especialidades Médicas,29
01023A00-ESPMEDICAS,Especialidades Médicas,30
01023A01-LERMAFCOME,Acueducto Río Lerma - Narciso Mendoza,31
0100C831-FTEPIRAMIDE,Av. de las Fuentes - Fuente Piramide,32
01023A01-AGUILAVFTES,Fuente de las Águilas - Av. de las Fuentes,32
01023A01-TRITONAVFTE,Fuente de Tritones - Av. de las Fuentes,33
01023A01-TRITONAGUIL,Fuente de Tritones - Fuente de las Águilas,34
0100C831-TECTRITONES,Puente de Tecamachalco - Fuente tritones,35
01023A00-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,35
01023A01-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,35
01023A00-IMLTRMEDICS,Industria Militar - Especialidades Médicas,36
01023A01-IMLTRMEDICS,Industria Militar - Especialidades Médicas,36
01023A00-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,37
01023A01-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,37
