stop_id,stop_name,stop_lat,stop_lon,agencia,grupo_stop_id
040010-TULIPAN,Tulipán,19.342902,-99.057158,04,4239
01020A00-CIRGPRIETO,Circuito Interior - Guillermo Prieto,19.438267,-99.168144,01,0
0501070-JBARRERA,Juan de la Barrera,19.50992,-99.18857,05,4840
0300L4-20NOVIEMBR,20 de Noviembre,19.42932,-99.13402,03,3907
0300L4-PINOSRZSR,Pino Suárez Sur,19.4261,-99.13421,03,3908
0300L4-SANPABLO,San Pablo,19.42558,-99.1307,03,3909
0300L4-FRAYSERVND,Fray Servando,19.42364,-99.13097,03,3910
0300L4-MSONORASUR,Mercado Sonora Sur,19.42311,-99.1267,03,3911
0501261-MCOPILCO,Metro Copilco,19.33635,-99.1776,05,4841
0501261-PERFCOSUR,Periférico Sur,19.3315,-99.20981,05,4842
0501261-POLLITOS,Los Pollitos,19.30543,-99.23503,05,4843
0501261-JMORNSALID,José Moreno Salido,19.30505,-99.23748,05,4844
0501261-LALOMA,La Loma,19.30463,-99.23996,05,4845
0501261-MAGDALNC,Alcaldía Magdalena Contreras,19.30468,-99.24148,05,4846
0501261-AVSNFCO,Av. San Francisco,19.30442,-99.24388,05,4847
0501260-CCCONTRS,C. C. Contreras,19.3023,-99.24585,05,4848
0501260-ADORHILDA,Andador Hilda,19.30391,-99.24126,05,4849
0501260-CICLOPSTA,Ciclopista,19.30411,-99.23924,05,4850
0501260-ESTACION,La Estación,19.30475,-99.23724,05,4844
0501260-PLZARTZ,Plaza Artz,19.31432,-99.22037,05,4851
0501260-SAMS,SAMS,19.32668,-99.21249,05,4852
040010-ACAHUALT,Acahualtepec,19.35763,-99.00154,04,4240
040010-ACATITL,Acatitlán,19.35528,-99.00813,04,4241
040010-TECOLOXT,Tecoloxtitlán,19.35206,-99.01586,04,4242
040010-IZTAHUAT,Iztahuatzín,19.34876,-99.0185,04,4243
040010-ATZINTLI,Atzintlí,19.34516,-99.02164,04,4244
040010-AZTAHUAC,Aztahuacán,19.34466,-99.02607,04,4245
040010-PAPALOTL,Papalotl,19.34394,-99.03344,04,4246
040010-MEYEHUAL,Meyehualco,19.34319,-99.04125,04,4247
040010-DVOSTACRUZ,Dvo. Santa Cruz,19.34246,-99.04888,04,4248
040010-CONST1917,Constitución de 1917,19.3457,-99.06411,04,4249
0100L1-PANTITLAN,Pantitlán,19.41553,-99.07251,01,1
090R11-PFILOSOFIA,Posgrado de Filosofía,19.33264,-99.19629,09,8519
090R11-AAPAUNAM,AAPAUNAM,19.33437,-99.19536,09,8520
